Date;Open;High;Low;Close ;Adj Close ;Volume
6/5/2025;92.9;94.6;92.6;94.6;94.6;287,438.0
5/5/2025;93.3;93.9;92.7;92.9;92.9;144,000.0
2/5/2025;93.5;94.9;93.1;93.6;93.6;233,100.0
1/5/2025;93.6;93.9;92.6;93.0;93.0;76,600.0
30/4/2025;93.1;94.5;92.3;94.1;94.1;266,200.0
29/4/2025;95.5;96.6;92.5;93.1;93.1;818,000.0
28/4/2025;97.4;97.8;95.4;96.1;96.1;183,200.0
25/4/2025;98.0;99.2;97.7;97.7;97.7;150,500.0
24/4/2025;98.0;100.1;97.7;98.4;98.4;223,500.0
23/4/2025;98.2;101.7;97.4;97.7;97.7;240,900.0
22/4/2025;96.3;97.2;95.7;96.7;96.7;144,200.0
21/4/2025;96.5;96.6;95.2;96.4;95.5;84,700.0
17/4/2025;94.9;96.9;94.9;96.5;95.6;133,700.0
16/4/2025;94.9;95.9;94.2;94.8;93.9;173,200.0
15/4/2025;94.0;95.9;93.6;94.6;93.7;163,000.0
14/4/2025;93.6;95.9;93.6;94.4;93.6;198,200.0
11/4/2025;95.0;95.3;92.2;93.5;92.6;205,600.0
10/4/2025;94.1;95.2;92.2;94.1;93.3;272,700.0
9/4/2025;89.0;95.6;88.2;95.0;94.1;520,800.0
8/4/2025;90.8;92.5;88.2;89.5;88.7;305,200.0
7/4/2025;89.5;92.4;88.4;89.4;88.6;184,600.0
4/4/2025;95.3;96.2;92.7;92.8;92.0;181,800.0
3/4/2025;95.1;98.9;95.0;96.9;96.0;308,700.0
2/4/2025;93.7;95.4;93.7;95.1;94.2;144,200.0
1/4/2025;91.8;94.0;91.1;93.7;92.9;184,200.0
31/3/2025;91.7;92.6;91.2;91.3;90.5;113,000.0
28/3/2025;91.6;92.6;90.9;92.3;91.5;222,600.0
27/3/2025;91.3;91.7;90.5;91.2;90.4;138,600.0
26/3/2025;89.1;91.2;89.1;90.9;90.1;167,800.0
25/3/2025;88.5;89.9;88.1;89.5;88.7;140,100.0
24/3/2025;88.6;89.5;87.6;88.0;87.2;146,600.0
21/3/2025;90.1;90.7;88.0;88.8;88.0;388,700.0
20/3/2025;88.9;91.0;88.4;90.5;89.6;195,000.0
19/3/2025;89.1;89.9;88.5;89.1;88.3;86,500.0
18/3/2025;89.4;89.9;88.8;89.6;88.8;154,200.0
17/3/2025;88.4;89.7;88.2;89.1;88.3;138,200.0
14/3/2025;88.1;89.6;87.8;89.0;88.2;125,300.0
13/3/2025;87.7;88.7;87.5;87.6;86.8;93,900.0
12/3/2025;86.2;88.5;85.7;87.9;87.1;162,600.0
11/3/2025;84.6;86.5;84.0;85.9;85.1;134,600.0
10/3/2025;86.4;87.1;84.1;85.0;84.2;188,500.0
7/3/2025;87.2;87.8;86.0;86.1;85.3;99,100.0
6/3/2025;86.9;88.0;86.4;87.5;86.7;243,500.0
5/3/2025;88.5;89.2;87.2;87.3;86.5;166,600.0
4/3/2025;86.9;88.2;85.2;87.7;86.9;244,600.0
3/3/2025;89.4;90.7;86.7;87.0;86.2;159,600.0
28/2/2025;89.2;89.5;87.6;89.1;88.3;323,700.0
