Date;Open;High;Low;Close ;Adj Close ;Volume
6/5/2025;111.4;114.7;110.8;113.5;113.5;148,181,271.0
5/5/2025;112.9;114.7;112.7;113.8;113.8;133,163,200.0
2/5/2025;114.2;115.4;113.4;114.5;114.5;190,194,800.0
1/5/2025;113.1;114.9;111.3;111.6;111.6;236,121,500.0
30/4/2025;104.5;108.9;104.1;108.9;108.9;235,044,600.0
29/4/2025;107.7;110.2;107.4;109.0;109.0;170,444,300.0
28/4/2025;109.7;110.4;106.0;108.7;108.7;207,708,500.0
25/4/2025;106.9;111.9;105.7;111.0;111.0;251,064,700.0
24/4/2025;103.5;106.5;103.1;106.4;106.4;220,815,000.0
23/4/2025;104.5;104.8;102.0;102.7;102.7;247,526,000.0
22/4/2025;98.8;99.8;97.3;98.9;98.9;241,004,800.0
21/4/2025;98.8;99.4;95.0;96.9;96.9;288,501,100.0
17/4/2025;104.5;104.5;100.1;101.5;101.5;290,833,400.0
16/4/2025;104.6;106.8;100.5;104.5;104.5;397,016,900.0
15/4/2025;111.0;113.6;110.5;112.2;112.2;228,966,900.0
14/4/2025;114.1;114.3;109.1;110.7;110.7;264,705,000.0
11/4/2025;108.5;111.6;107.5;110.9;110.9;313,417,300.0
10/4/2025;109.4;110.9;99.2;107.6;107.6;437,812,400.0
9/4/2025;98.9;115.1;97.5;114.3;114.3;612,918,300.0
8/4/2025;103.8;105.9;94.5;96.3;96.3;476,243,400.0
7/4/2025;87.5;101.8;86.6;97.6;97.6;611,041,300.0
4/4/2025;98.9;100.1;92.1;94.3;94.3;532,273,800.0
3/4/2025;103.5;105.6;101.6;101.8;101.8;338,769,400.0
2/4/2025;107.3;112.0;106.8;110.4;110.4;220,601,200.0
1/4/2025;108.5;110.2;106.5;110.2;110.2;222,614,000.0
31/3/2025;105.1;111.0;103.7;108.4;108.4;299,212,700.0
28/3/2025;111.5;112.9;109.1;109.7;109.7;229,872,500.0
27/3/2025;111.4;114.5;110.7;111.4;111.4;236,902,100.0
26/3/2025;118.7;118.8;112.7;113.8;113.8;293,463,300.0
25/3/2025;120.6;121.3;118.9;120.7;120.7;167,447,200.0
24/3/2025;119.9;122.2;119.3;121.4;121.4;228,452,500.0
21/3/2025;116.9;118.0;115.4;117.7;117.7;266,498,500.0
20/3/2025;116.6;120.2;116.5;118.5;118.5;248,829,700.0
19/3/2025;117.3;120.5;115.7;117.5;117.5;273,426,200.0
18/3/2025;118.0;119.0;114.5;115.4;115.4;299,686,900.0
17/3/2025;122.7;122.9;118.0;119.5;119.5;255,501,500.0
14/3/2025;118.6;121.9;118.2;121.7;121.7;277,593,500.0
13/3/2025;117.0;117.8;113.8;115.6;115.6;299,033,100.0
12/3/2025;114.1;116.8;112.9;115.7;115.7;323,857,500.0
11/3/2025;107.0;112.2;104.8;108.8;108.8;354,865,700.0
10/3/2025;109.9;111.9;105.5;107.0;107.0;366,487,400.0
7/3/2025;111.3;113.5;107.6;112.7;112.7;341,755,500.0
6/3/2025;113.5;115.4;110.2;110.6;110.6;321,181,900.0
5/3/2025;117.6;118.3;114.5;117.3;117.3;284,337,900.0
4/3/2025;110.7;119.3;110.1;116.0;116.0;398,163,300.0
3/3/2025;123.5;123.7;112.3;114.1;114.1;411,381,400.0
28/2/2025;118.0;125.1;116.4;124.9;124.9;389,091,100.0
27/2/2025;135.0;135.0;120.0;120.2;120.1;443,175,800.0
26/2/2025;130.0;133.7;128.5;131.3;131.3;322,553,800.0
25/2/2025;130.0;130.2;124.4;126.6;126.6;271,428,700.0
24/2/2025;136.6;138.6;130.1;130.3;130.3;251,381,100.0
21/2/2025;140.0;141.5;134.0;134.4;134.4;228,217,600.0
20/2/2025;140.0;140.7;136.8;140.1;140.1;143,903,600.0
19/2/2025;139.5;141.4;137.2;139.2;139.2;167,536,000.0
18/2/2025;141.3;143.4;137.9;139.4;139.4;219,176,600.0
14/2/2025;136.5;139.3;135.5;138.9;138.8;195,479,600.0
13/2/2025;131.6;136.5;131.2;135.3;135.3;197,430,000.0
12/2/2025;130.0;132.2;129.1;131.1;131.1;160,278,600.0
11/2/2025;132.6;134.5;131.0;132.8;132.8;178,902,400.0
10/2/2025;130.1;135.0;130.0;133.6;133.6;216,989,100.0
7/2/2025;129.2;130.4;125.0;129.8;129.8;228,186,300.0
6/2/2025;127.4;128.8;125.2;128.7;128.7;251,483,600.0
5/2/2025;121.8;125.0;120.8;124.8;124.8;262,230,800.0
4/2/2025;117.0;121.2;116.7;118.7;118.6;256,550,000.0
3/2/2025;114.8;118.6;113.0;116.7;116.7;371,235,700.0
31/1/2025;123.8;127.9;119.2;120.1;120.1;390,372,900.0
30/1/2025;123.1;125.0;118.1;124.7;124.6;392,925,500.0
29/1/2025;126.5;126.9;120.1;123.7;123.7;467,120,600.0
28/1/2025;121.8;129.0;116.3;129.0;129.0;579,666,400.0
27/1/2025;124.8;128.4;116.7;118.4;118.4;818,830,900.0
24/1/2025;148.4;149.0;141.9;142.6;142.6;234,657,600.0
23/1/2025;145.1;147.2;143.7;147.2;147.2;155,915,500.0
22/1/2025;144.7;147.8;143.7;147.1;147.1;237,651,400.0
21/1/2025;139.2;141.8;137.1;140.8;140.8;197,749,000.0
17/1/2025;136.7;138.5;135.5;137.7;137.7;201,188,800.0
16/1/2025;138.6;138.8;133.5;133.6;133.6;209,235,600.0
15/1/2025;133.7;136.5;131.3;136.2;136.2;185,217,300.0
14/1/2025;136.1;136.4;130.1;131.8;131.8;195,590,500.0
13/1/2025;130.0;133.5;129.5;133.2;133.2;204,808,900.0
10/1/2025;137.5;139.9;134.2;135.9;135.9;207,602,500.0
8/1/2025;142.6;144.0;137.6;140.1;140.1;227,349,900.0
7/1/2025;153.0;153.1;140.0;140.1;140.1;351,782,200.0
6/1/2025;148.6;152.2;147.8;149.4;149.4;265,377,400.0
3/1/2025;140.0;144.9;139.7;144.5;144.5;229,322,500.0
2/1/2025;136.0;138.9;134.6;138.3;138.3;198,247,200.0
31/12/2024;138.0;138.1;133.8;134.3;134.3;155,659,200.0
30/12/2024;134.8;140.3;134.0;137.5;137.5;167,734,700.0
27/12/2024;138.6;139.0;134.7;137.0;137.0;170,582,600.0
26/12/2024;139.7;140.9;137.7;139.9;139.9;116,205,600.0
24/12/2024;140.0;141.9;138.7;140.2;140.2;105,157,000.0
23/12/2024;136.3;139.8;135.1;139.7;139.7;176,053,500.0
20/12/2024;129.8;135.3;128.2;134.7;134.7;306,528,600.0
19/12/2024;131.8;134.0;129.6;130.7;130.7;209,719,200.0
18/12/2024;133.9;136.7;128.3;128.9;128.9;277,444,500.0
17/12/2024;129.1;131.6;126.9;130.4;130.4;259,410,300.0
16/12/2024;134.2;134.4;130.4;132.0;132.0;237,951,100.0
13/12/2024;138.9;139.6;132.5;134.3;134.2;231,514,900.0
12/12/2024;137.1;138.4;135.8;137.3;137.3;159,211,400.0
11/12/2024;137.4;140.2;135.2;139.3;139.3;184,905,200.0
10/12/2024;139.0;141.8;133.8;135.1;135.1;210,020,900.0
9/12/2024;139.0;140.0;137.1;138.8;138.8;189,308,600.0
6/12/2024;144.6;145.7;141.3;142.4;142.4;188,505,600.0
5/12/2024;145.1;146.5;144.0;145.1;145.1;172,621,200.0
4/12/2024;142.0;145.8;140.3;145.1;145.1;231,224,300.0
3/12/2024;138.3;140.5;138.0;140.3;140.2;164,414,000.0
2/12/2024;138.8;140.5;137.8;138.6;138.6;171,682,800.0
29/11/2024;136.8;139.4;136.1;138.3;138.2;141,863,200.0
27/11/2024;135.0;137.2;131.8;135.3;135.3;226,370,900.0
26/11/2024;137.7;139.3;135.7;136.9;136.9;190,287,700.0
25/11/2024;142.0;142.1;135.8;136.0;136.0;344,941,900.0
22/11/2024;145.9;147.2;141.1;142.0;141.9;236,406,200.0
21/11/2024;149.4;152.9;140.7;146.7;146.7;400,946,600.0
20/11/2024;147.4;147.6;142.7;145.9;145.9;309,871,700.0
19/11/2024;141.3;147.1;141.0;147.0;147.0;227,834,900.0
18/11/2024;139.5;141.6;137.2;140.2;140.1;221,866,000.0
15/11/2024;144.9;145.2;140.1;142.0;142.0;250,132,900.0
14/11/2024;147.6;149.0;145.6;146.8;146.7;194,463,300.0
13/11/2024;149.1;149.3;145.9;146.3;146.3;191,903,300.0
12/11/2024;146.8;149.7;146.0;148.3;148.3;198,634,700.0
11/11/2024;148.7;148.9;143.6;145.3;145.2;182,325,600.0
8/11/2024;148.8;149.8;146.3;147.6;147.6;175,665,800.0
7/11/2024;146.4;148.9;146.2;148.9;148.9;207,323,300.0
6/11/2024;143.0;146.5;142.0;145.6;145.6;242,043,900.0
5/11/2024;137.5;140.4;137.3;139.9;139.9;160,537,400.0
4/11/2024;137.2;139.0;135.6;136.1;136.0;187,528,200.0
1/11/2024;134.7;137.3;134.6;135.4;135.4;207,127,800.0
31/10/2024;137.6;137.6;132.1;132.8;132.7;270,039,600.0
30/10/2024;139.5;140.3;136.8;139.3;139.3;179,418,100.0
29/10/2024;140.3;142.3;138.9;141.3;141.2;157,593,600.0
28/10/2024;143.0;143.1;140.1;140.5;140.5;173,586,700.0
25/10/2024;140.9;144.1;140.8;141.5;141.5;205,122,100.0
24/10/2024;140.8;141.4;138.5;140.4;140.4;172,354,900.0
23/10/2024;142.0;142.4;137.5;139.6;139.5;285,930,000.0
22/10/2024;142.9;144.4;141.8;143.6;143.6;226,311,600.0
21/10/2024;138.1;143.7;138.0;143.7;143.7;264,554,500.0
18/10/2024;138.7;138.9;137.3;138.0;138.0;176,090,200.0
17/10/2024;139.3;140.9;136.9;136.9;136.9;306,435,900.0
16/10/2024;134.0;136.6;131.6;135.7;135.7;264,879,700.0
15/10/2024;137.9;138.6;128.7;131.6;131.6;377,831,000.0
14/10/2024;136.5;139.6;136.3;138.1;138.1;232,347,700.0
11/10/2024;134.0;135.8;133.7;134.8;134.8;170,209,500.0
10/10/2024;131.9;135.0;131.0;134.8;134.8;242,311,300.0
9/10/2024;134.1;134.5;131.4;132.7;132.6;246,191,600.0
8/10/2024;130.3;133.5;129.4;132.9;132.9;285,722,500.0
7/10/2024;125.0;130.6;125.0;127.7;127.7;346,250,200.0
4/10/2024;124.9;125.0;121.8;124.9;124.9;243,678,100.0
3/10/2024;120.9;124.4;120.3;122.9;122.8;277,118,000.0
2/10/2024;116.4;119.4;115.1;118.9;118.8;221,845,900.0
1/10/2024;121.8;122.4;115.8;117.0;117.0;302,094,500.0
30/9/2024;118.3;121.5;118.2;121.4;121.4;226,553,700.0
27/9/2024;124.0;124.0;119.3;121.4;121.4;271,009,200.0
26/9/2024;126.8;127.7;121.8;124.0;124.0;302,582,900.0
25/9/2024;122.0;124.9;121.6;123.5;123.5;284,692,900.0
24/9/2024;116.5;121.8;115.4;120.9;120.9;354,966,800.0
23/9/2024;116.6;117.0;114.9;116.3;116.2;206,228,500.0
20/9/2024;117.1;118.6;115.4;116.0;116.0;382,462,400.0
19/9/2024;117.4;119.7;117.3;117.9;117.9;293,506,400.0
18/9/2024;115.9;117.7;113.2;113.4;113.4;310,318,900.0
17/9/2024;118.2;118.8;114.8;115.6;115.6;231,925,900.0
16/9/2024;116.8;118.2;114.4;116.8;116.8;248,772,300.0
13/9/2024;119.1;120.0;117.6;119.1;119.1;238,358,300.0
12/9/2024;116.8;120.8;115.4;119.1;119.1;367,100,500.0
11/9/2024;109.4;117.2;107.4;116.9;116.9;441,422,400.0
10/9/2024;107.8;109.4;105.0;108.1;108.1;268,283,700.0
9/9/2024;104.9;106.6;103.7;106.5;106.4;273,912,000.0
6/9/2024;108.0;108.2;101.0;102.8;102.8;413,638,100.0
5/9/2024;105.0;109.7;104.8;107.2;107.2;306,850,700.0
4/9/2024;105.4;113.3;104.1;106.2;106.2;372,470,300.0
3/9/2024;116.0;116.2;107.3;108.0;108.0;477,155,100.0
30/8/2024;119.5;121.8;117.2;119.4;119.3;333,751,600.0
29/8/2024;121.4;124.4;116.7;117.6;117.6;453,023,300.0
28/8/2024;128.1;128.3;122.6;125.6;125.6;448,101,100.0
27/8/2024;125.1;129.2;123.9;128.3;128.3;303,134,600.0
26/8/2024;129.6;131.3;124.4;126.5;126.4;331,964,700.0
23/8/2024;125.9;129.6;125.2;129.4;129.3;323,230,300.0
22/8/2024;130.0;130.8;123.1;123.7;123.7;376,189,100.0
21/8/2024;127.3;129.4;126.7;128.5;128.5;257,883,600.0
20/8/2024;128.4;129.9;125.9;127.3;127.2;300,087,400.0
19/8/2024;124.3;130.0;123.4;130.0;130.0;318,333,600.0
16/8/2024;121.9;125.0;121.2;124.6;124.6;302,589,900.0
15/8/2024;118.8;123.2;117.5;122.9;122.8;318,086,700.0
14/8/2024;118.5;118.6;114.1;118.1;118.1;339,246,400.0
13/8/2024;112.4;116.2;111.6;116.1;116.1;312,646,700.0
12/8/2024;106.3;111.1;106.3;109.0;109.0;325,559,900.0
9/8/2024;105.6;106.6;103.4;104.8;104.7;290,844,200.0
8/8/2024;102.0;105.5;97.5;105.0;104.9;391,910,000.0
7/8/2024;107.8;108.8;98.7;98.9;98.9;411,440,400.0
6/8/2024;103.8;107.7;100.6;104.3;104.2;409,012,100.0
5/8/2024;92.1;103.4;90.7;100.5;100.4;552,842,400.0
2/8/2024;103.8;108.7;101.4;107.3;107.2;482,027,500.0
1/8/2024;117.5;120.2;106.8;109.2;109.2;523,462,300.0
31/7/2024;112.9;118.3;110.9;117.0;117.0;473,174,200.0
30/7/2024;111.5;112.0;102.5;103.7;103.7;486,833,300.0
29/7/2024;113.7;116.3;111.3;111.6;111.6;248,152,100.0
26/7/2024;116.2;116.2;111.6;113.1;113.0;293,399,100.0
25/7/2024;113.0;116.6;106.3;112.3;112.3;460,067,000.0
24/7/2024;119.2;120.0;113.4;114.3;114.2;327,776,900.0
23/7/2024;122.8;124.7;122.1;122.6;122.6;173,911,000.0
22/7/2024;120.4;124.1;119.9;123.5;123.5;258,068,900.0
19/7/2024;120.4;121.6;117.4;117.9;117.9;217,223,800.0
18/7/2024;121.9;122.4;116.6;121.1;121.1;320,979,500.0
17/7/2024;121.4;121.9;116.7;118.0;118.0;390,086,200.0
16/7/2024;128.4;129.0;124.6;126.4;126.3;214,769,500.0
15/7/2024;130.6;131.4;127.2;128.4;128.4;208,326,200.0
12/7/2024;128.3;131.9;127.2;129.2;129.2;252,680,500.0
11/7/2024;135.8;136.2;127.1;127.4;127.4;374,782,700.0
10/7/2024;134.0;135.1;132.4;134.9;134.9;248,978,600.0
9/7/2024;130.4;133.8;128.7;131.4;131.4;285,366,600.0
8/7/2024;127.5;130.8;127.0;128.2;128.2;237,677,300.0
5/7/2024;127.4;128.9;125.7;125.8;125.8;214,176,700.0
3/7/2024;121.7;128.3;121.4;128.3;128.3;215,749,000.0
2/7/2024;121.1;123.4;121.0;122.7;122.6;218,374,000.0
1/7/2024;123.5;124.8;118.8;124.3;124.3;284,885,500.0
28/6/2024;124.6;127.7;122.8;123.5;123.5;315,516,700.0
27/6/2024;124.1;126.4;122.9;124.0;124.0;252,571,700.0
26/6/2024;126.1;128.1;122.6;126.4;126.4;362,975,900.0
25/6/2024;121.2;126.5;119.3;126.1;126.1;425,787,500.0
24/6/2024;123.2;124.5;118.0;118.1;118.1;476,060,900.0
21/6/2024;127.1;130.6;124.3;126.6;126.5;655,484,700.0
20/6/2024;139.8;140.8;129.5;130.8;130.8;517,768,400.0
18/6/2024;131.1;136.3;130.7;135.6;135.6;294,335,100.0
17/6/2024;133.0;133.7;129.6;131.0;131.0;288,504,400.0
14/6/2024;130.0;132.8;128.3;131.9;131.9;309,320,400.0
13/6/2024;129.4;129.8;127.2;129.6;129.6;260,704,500.0
12/6/2024;123.1;126.9;122.6;125.2;125.2;299,595,000.0
11/6/2024;121.8;122.9;118.7;120.9;120.9;222,551,200.0
10/6/2024;120.4;123.1;117.0;121.8;121.8;314,162,700.0
7/6/2024;119.8;121.7;118.0;120.9;120.9;412,386,000.0
6/6/2024;124.1;125.6;118.3;121.0;121.0;664,696,000.0
5/6/2024;118.4;122.5;117.5;122.4;122.4;528,402,000.0
4/6/2024;115.7;116.6;114.0;116.4;116.4;403,324,000.0
3/6/2024;113.6;115.0;112.0;115.0;115.0;438,392,000.0
31/5/2024;112.5;112.7;106.9;109.6;109.6;613,263,000.0
30/5/2024;114.7;115.8;109.7;110.5;110.5;487,350,000.0
29/5/2024;113.1;115.5;110.9;114.8;114.8;557,442,000.0
28/5/2024;110.2;114.9;109.9;113.9;113.9;652,728,000.0
24/5/2024;104.5;106.5;103.0;106.5;106.4;429,494,000.0
23/5/2024;102.0;106.3;101.5;103.8;103.8;835,065,000.0
22/5/2024;95.5;96.0;93.3;95.0;94.9;548,648,000.0
21/5/2024;93.6;95.4;93.2;95.4;95.4;328,946,000.0
20/5/2024;93.8;95.2;93.4;94.8;94.8;318,764,000.0
17/5/2024;94.4;94.7;91.8;92.5;92.5;359,691,000.0
16/5/2024;94.9;95.8;94.1;94.4;94.3;323,952,000.0
15/5/2024;92.5;94.9;91.6;94.6;94.6;417,735,000.0
14/5/2024;89.6;91.7;88.9;91.4;91.3;296,507,000.0
13/5/2024;90.5;91.0;88.5;90.4;90.4;289,680,000.0
10/5/2024;90.3;91.4;89.2;89.9;89.9;335,325,000.0
9/5/2024;90.5;91.1;88.2;88.8;88.7;378,013,000.0
8/5/2024;89.5;91.2;89.4;90.4;90.4;325,721,000.0
7/5/2024;91.1;91.8;89.0;90.6;90.5;437,342,000.0
6/5/2024;89.4;92.2;89.1;92.1;92.1;376,203,000.0
3/5/2024;87.8;89.3;87.0;88.8;88.8;398,341,000.0
2/5/2024;84.5;86.2;83.2;85.8;85.8;377,898,000.0
1/5/2024;85.1;86.0;81.3;83.0;83.0;559,863,000.0
30/4/2024;87.2;88.8;86.3;86.4;86.4;363,709,000.0
29/4/2024;87.6;88.0;85.3;87.8;87.7;388,971,000.0
26/4/2024;83.8;88.3;83.4;87.7;87.7;551,011,000.0
25/4/2024;78.9;83.3;78.2;82.6;82.6;424,641,000.0
24/4/2024;84.0;84.1;79.2;79.7;79.7;512,208,000.0
23/4/2024;80.8;82.8;80.3;82.4;82.4;438,559,000.0
22/4/2024;78.1;80.1;76.4;79.5;79.5;596,341,000.0
19/4/2024;83.2;84.3;75.6;76.2;76.2;875,198,000.0
18/4/2024;85.0;86.2;82.4;84.7;84.6;447,260,000.0
17/4/2024;88.3;88.8;84.0;84.0;84.0;495,400,000.0
16/4/2024;86.4;88.1;86.1;87.4;87.4;370,453,000.0
15/4/2024;89.1;90.6;85.9;86.0;86.0;443,077,000.0
12/4/2024;89.7;90.2;87.5;88.2;88.2;426,805,000.0
11/4/2024;87.4;90.7;86.9;90.6;90.6;431,637,000.0
10/4/2024;83.9;87.4;83.7;87.0;87.0;431,929,000.0
9/4/2024;87.4;87.6;83.0;85.4;85.3;503,547,000.0
8/4/2024;88.7;88.8;86.7;87.1;87.1;283,220,000.0
5/4/2024;86.9;88.5;85.9;88.0;88.0;399,678,000.0
4/4/2024;90.4;90.6;85.9;85.9;85.9;434,965,000.0
3/4/2024;88.5;90.4;88.4;89.0;88.9;370,067,000.0
2/4/2024;88.5;90.1;87.6;89.5;89.4;433,064,000.0
1/4/2024;90.3;92.2;89.2;90.4;90.3;452,441,000.0
28/3/2024;90.0;91.3;89.2;90.4;90.3;435,212,000.0
27/3/2024;93.1;93.2;89.1;90.3;90.2;586,067,000.0
26/3/2024;95.9;96.4;92.5;92.6;92.5;513,648,000.0
25/3/2024;93.9;96.8;93.5;95.0;95.0;552,136,000.0
22/3/2024;91.1;94.8;90.8;94.3;94.3;586,719,000.0
21/3/2024;92.3;92.7;90.4;91.4;91.4;480,372,000.0
20/3/2024;89.8;90.4;88.2;90.4;90.3;479,063,000.0
19/3/2024;86.7;90.5;85.0;89.4;89.4;672,171,000.0
18/3/2024;90.4;92.4;87.1;88.5;88.4;668,976,000.0
15/3/2024;86.9;89.6;86.3;87.8;87.8;642,086,000.0
14/3/2024;89.6;90.7;86.6;87.9;87.9;602,318,000.0
13/3/2024;91.1;91.5;88.4;90.9;90.9;635,713,000.0
12/3/2024;88.1;92.0;86.2;91.9;91.9;668,075,000.0
11/3/2024;86.4;88.8;84.2;85.8;85.8;678,364,000.0
8/3/2024;95.1;97.4;86.5;87.5;87.5;1,142,269,000.0
7/3/2024;90.2;92.8;89.6;92.7;92.6;608,119,000.0
6/3/2024;88.0;89.7;87.0;88.7;88.7;582,520,000.0
5/3/2024;85.3;86.1;83.4;86.0;85.9;520,639,000.0
4/3/2024;84.1;87.7;83.7;85.2;85.2;615,616,000.0
1/3/2024;80.0;82.3;79.4;82.3;82.3;479,135,000.0
29/2/2024;79.1;80.0;78.4;79.1;79.1;507,289,000.0
28/2/2024;77.6;78.9;77.1;77.7;77.6;393,110,000.0
27/2/2024;79.4;79.5;77.2;78.7;78.7;391,705,000.0
26/2/2024;79.7;80.7;78.5;79.1;79.1;503,973,000.0
23/2/2024;80.8;82.4;77.6;78.8;78.8;829,388,000.0
22/2/2024;75.0;78.6;74.2;78.5;78.5;865,100,000.0
21/2/2024;68.0;68.9;66.3;67.5;67.5;690,298,000.0
20/2/2024;72.0;72.0;67.7;69.5;69.4;704,833,000.0
16/2/2024;74.1;74.4;72.5;72.6;72.6;495,327,000.0
15/2/2024;73.9;74.0;72.4;72.7;72.6;420,122,000.0
14/2/2024;73.2;74.2;71.9;73.9;73.9;504,917,000.0
13/2/2024;70.4;73.5;69.6;72.1;72.1;602,580,000.0
12/2/2024;72.6;74.6;71.3;72.3;72.2;613,710,000.0
9/2/2024;70.5;72.2;70.2;72.1;72.1;436,637,000.0
8/2/2024;70.1;70.8;69.5;69.6;69.6;414,422,000.0
7/2/2024;68.3;70.2;67.6;70.1;70.1;495,575,000.0
6/2/2024;69.6;69.8;66.3;68.2;68.2;683,111,000.0
5/2/2024;68.2;69.5;67.2;69.3;69.3;680,078,000.0
2/2/2024;64.0;66.6;63.7;66.2;66.1;476,578,000.0
1/2/2024;62.1;63.2;61.7;63.0;63.0;369,146,000.0
31/1/2024;61.4;62.3;60.7;61.5;61.5;453,795,000.0
30/1/2024;62.9;63.5;62.3;62.8;62.8;410,735,000.0
29/1/2024;61.2;62.5;60.9;62.5;62.4;348,733,000.0
26/1/2024;61.0;61.8;60.6;61.0;61.0;390,309,000.0
25/1/2024;62.4;62.7;60.9;61.6;61.6;482,777,000.0
24/1/2024;60.3;62.9;59.9;61.4;61.3;560,271,000.0
23/1/2024;59.6;59.9;58.6;59.9;59.9;294,654,000.0
22/1/2024;60.1;60.3;59.1;59.7;59.6;452,955,000.0
19/1/2024;58.0;59.5;57.2;59.5;59.5;543,501,000.0
18/1/2024;57.3;57.6;56.1;57.1;57.1;491,650,000.0
17/1/2024;56.4;56.5;54.7;56.1;56.0;474,394,000.0
16/1/2024;55.0;56.8;54.9;56.4;56.4;449,580,000.0
12/1/2024;54.6;55.0;54.3;54.7;54.7;352,994,000.0
11/1/2024;55.0;55.4;53.6;54.8;54.8;596,759,000.0
10/1/2024;53.6;54.6;53.5;54.4;54.3;533,796,000.0
9/1/2024;52.4;54.3;51.7;53.1;53.1;773,100,000.0
8/1/2024;49.5;52.3;49.5;52.3;52.2;642,510,000.0
5/1/2024;48.5;49.6;48.3;49.1;49.1;415,039,000.0
4/1/2024;47.8;48.5;47.5;48.0;48.0;306,535,000.0
3/1/2024;47.5;48.2;47.3;47.6;47.6;320,896,000.0
2/1/2024;49.2;49.3;47.6;48.2;48.2;411,254,000.0
29/12/2023;49.8;50.0;48.8;49.5;49.5;389,293,000.0
28/12/2023;49.6;49.9;49.4;49.5;49.5;246,587,000.0
27/12/2023;49.5;49.7;49.1;49.4;49.4;233,648,000.0
26/12/2023;49.0;49.6;49.0;49.3;49.3;244,200,000.0
22/12/2023;49.2;49.4;48.5;48.8;48.8;252,507,000.0
21/12/2023;48.8;49.1;48.4;49.0;49.0;300,425,000.0
20/12/2023;49.7;50.0;48.1;48.1;48.1;397,894,000.0
19/12/2023;49.4;49.7;48.9;49.6;49.6;464,444,000.0
18/12/2023;49.4;50.4;49.2;50.1;50.1;412,587,000.0
15/12/2023;48.2;49.4;48.1;48.9;48.9;479,948,000.0
14/12/2023;48.4;48.7;47.4;48.4;48.3;391,232,000.0
13/12/2023;47.6;48.6;47.6;48.1;48.1;447,792,000.0
12/12/2023;46.1;47.7;46.1;47.7;47.6;372,387,000.0
11/12/2023;47.5;47.5;45.8;46.6;46.6;509,728,000.0
8/12/2023;46.6;47.7;46.6;47.5;47.5;359,224,000.0
7/12/2023;45.7;46.6;45.6;46.6;46.6;350,823,000.0
6/12/2023;47.2;47.4;45.4;45.5;45.5;380,590,000.0
5/12/2023;45.5;46.6;45.3;46.6;46.6;371,718,000.0
4/12/2023;46.1;46.1;45.0;45.5;45.5;437,543,000.0
1/12/2023;46.5;47.2;46.2;46.8;46.7;369,317,000.0
30/11/2023;48.0;48.1;46.4;46.8;46.8;526,247,000.0
29/11/2023;48.4;48.8;47.9;48.1;48.1;382,005,000.0
28/11/2023;48.2;48.3;47.5;47.8;47.8;401,491,000.0
27/11/2023;47.8;48.5;47.7;48.2;48.2;395,662,000.0
24/11/2023;48.5;48.9;47.7;47.8;47.8;294,645,000.0
22/11/2023;49.9;50.3;47.7;48.7;48.7;899,420,000.0
21/11/2023;50.1;50.5;49.2;49.9;49.9;565,747,000.0
20/11/2023;49.3;50.6;49.2;50.4;50.4;414,120,000.0
17/11/2023;49.5;49.7;49.0;49.3;49.3;325,205,000.0
16/11/2023;48.7;49.5;48.3;49.5;49.5;339,756,000.0
15/11/2023;49.9;50.0;48.2;48.9;48.9;475,497,000.0
14/11/2023;49.7;49.8;49.0;49.7;49.6;416,954,000.0
13/11/2023;48.3;49.1;48.1;48.6;48.6;384,136,000.0
10/11/2023;47.5;48.5;47.3;48.3;48.3;421,245,000.0
9/11/2023;47.5;48.2;46.8;47.0;46.9;540,496,000.0
8/11/2023;46.1;46.9;46.0;46.6;46.6;346,719,000.0
7/11/2023;45.7;46.2;45.2;46.0;45.9;343,165,000.0
6/11/2023;45.3;45.9;44.9;45.8;45.7;400,733,000.0
3/11/2023;44.0;45.3;43.7;45.0;45.0;424,610,000.0
2/11/2023;43.3;43.9;42.9;43.5;43.5;409,172,000.0
1/11/2023;40.9;42.4;40.9;42.3;42.3;437,593,000.0
31/10/2023;40.5;40.9;39.2;40.8;40.8;517,969,000.0
30/10/2023;41.1;41.8;40.5;41.2;41.1;388,028,000.0
27/10/2023;41.1;41.2;40.0;40.5;40.5;416,784,000.0
26/10/2023;41.9;42.3;39.9;40.3;40.3;541,001,000.0
25/10/2023;43.4;43.7;41.6;41.8;41.8;398,379,000.0
24/10/2023;43.1;43.7;42.7;43.7;43.6;401,463,000.0
23/10/2023;41.2;43.3;40.9;43.0;43.0;478,530,000.0
