Date;Open;High;Low;Close ;Adj Close ;Volume
6/5/2025;54.7;54.8;53.1;53.2;53.2;3,507,393.0
5/5/2025;55.3;55.3;54.1;54.6;54.6;1,720,700.0
2/5/2025;55.5;55.7;55.3;55.4;55.4;2,254,700.0
1/5/2025;55.1;55.1;53.9;54.1;54.1;1,512,200.0
30/4/2025;55.0;55.1;54.3;55.0;55.0;1,687,100.0
29/4/2025;53.1;53.8;52.9;53.7;53.7;2,126,400.0
28/4/2025;52.8;53.2;52.7;52.8;52.8;2,005,600.0
25/4/2025;52.9;52.9;52.2;52.3;52.3;5,488,700.0
24/4/2025;52.9;53.7;52.4;53.5;53.5;4,136,400.0
23/4/2025;52.5;53.1;52.3;53.0;53.0;3,052,000.0
22/4/2025;51.3;52.3;51.3;51.9;51.9;4,414,100.0
21/4/2025;51.3;51.4;50.5;50.9;50.9;2,604,000.0
17/4/2025;51.2;51.6;50.9;50.9;50.9;2,856,400.0
16/4/2025;51.6;51.6;50.4;50.6;50.6;6,232,500.0
15/4/2025;51.3;51.9;50.5;50.6;50.6;6,523,700.0
14/4/2025;51.4;52.2;51.4;51.8;51.8;2,649,900.0
11/4/2025;50.6;51.8;50.2;51.5;51.5;3,191,000.0
10/4/2025;50.2;50.2;48.7;49.7;49.7;2,657,800.0
9/4/2025;48.2;51.6;47.7;51.2;51.2;6,026,500.0
8/4/2025;51.3;51.3;49.0;49.9;49.9;4,267,000.0
7/4/2025;50.2;52.2;49.5;50.8;50.8;4,010,500.0
4/4/2025;53.7;53.9;51.6;52.0;52.0;3,162,400.0
3/4/2025;55.7;55.8;54.6;54.6;54.6;1,842,100.0
2/4/2025;53.9;54.4;53.8;54.0;54.0;1,682,600.0
1/4/2025;55.5;55.5;54.2;54.3;54.3;3,810,200.0
31/3/2025;55.0;55.6;54.6;55.5;55.5;1,559,200.0
28/3/2025;55.8;56.0;55.6;55.8;55.8;2,059,600.0
27/3/2025;54.8;55.1;54.7;54.9;54.9;1,320,300.0
26/3/2025;54.4;54.8;54.0;54.5;54.5;3,002,600.0
25/3/2025;56.9;56.9;55.4;55.5;55.5;3,950,000.0
24/3/2025;56.1;56.4;55.8;55.9;55.9;1,816,200.0
21/3/2025;57.4;57.6;56.6;56.9;56.9;1,950,500.0
20/3/2025;58.0;58.2;57.2;57.8;57.8;2,002,400.0
19/3/2025;59.1;59.1;58.2;58.6;58.6;3,249,100.0
18/3/2025;58.9;59.2;58.7;59.1;59.1;3,381,100.0
17/3/2025;58.3;59.1;58.3;58.9;58.9;3,512,900.0
14/3/2025;57.9;57.9;57.6;57.8;57.8;1,757,600.0
13/3/2025;57.4;57.9;57.3;57.8;57.8;3,279,600.0
12/3/2025;58.1;58.1;57.4;57.7;57.7;3,235,700.0
11/3/2025;59.9;59.9;58.4;58.7;58.7;1,887,200.0
10/3/2025;59.9;60.1;58.9;59.4;59.4;3,099,800.0
7/3/2025;59.1;59.7;59.0;59.3;59.3;3,783,300.0
6/3/2025;58.9;59.7;58.8;59.4;59.4;5,019,200.0
5/3/2025;58.3;59.2;58.3;59.2;59.2;3,617,500.0
4/3/2025;57.4;57.8;57.1;57.7;57.7;4,430,800.0
3/3/2025;56.3;56.8;56.3;56.5;56.5;4,314,400.0
28/2/2025;54.2;54.5;54.1;54.5;54.5;1,597,700.0
27/2/2025;54.5;54.6;54.1;54.1;54.1;2,239,300.0
26/2/2025;54.6;55.2;54.6;55.0;55.0;1,823,100.0
25/2/2025;54.6;55.0;54.3;54.9;54.9;2,763,400.0
24/2/2025;54.0;54.1;53.7;53.8;53.8;1,752,800.0
21/2/2025;54.0;54.5;53.9;54.5;54.5;1,424,200.0
20/2/2025;53.6;54.3;53.6;54.1;54.1;1,144,400.0
19/2/2025;53.7;53.8;53.5;53.6;53.6;2,752,300.0
18/2/2025;54.1;54.4;53.8;54.0;54.0;2,081,400.0
14/2/2025;54.8;54.8;54.1;54.5;54.5;1,806,400.0
13/2/2025;54.7;55.0;54.0;54.0;54.0;1,985,500.0
