Date;Open;High;Low;Close ;Adj Close ;Volume
6/5/2025;273.1;277.7;271.4;275.4;275.4;74,835,790.0
5/5/2025;284.6;284.9;274.4;280.3;280.3;94,618,900.0
2/5/2025;284.9;294.8;279.8;287.2;287.2;114,454,700.0
1/5/2025;280.0;290.9;279.8;280.5;280.5;99,659,000.0
30/4/2025;279.9;284.5;270.8;282.2;282.2;128,961,100.0
29/4/2025;285.5;293.3;279.5;292.0;292.0;108,906,600.0
28/4/2025;289.0;294.9;272.4;285.9;285.9;151,731,800.0
25/4/2025;261.7;286.9;259.6;285.0;285.0;167,560,700.0
24/4/2025;250.5;259.5;249.2;259.5;259.5;94,464,200.0
23/4/2025;254.9;259.5;244.4;250.7;250.7;150,381,900.0
22/4/2025;231.0;242.8;229.9;238.0;238.0;120,858,500.0
21/4/2025;230.3;232.2;222.8;227.5;227.5;97,768,000.0
17/4/2025;243.5;244.3;237.7;241.4;241.4;83,404,800.0
16/4/2025;247.6;252.0;233.9;241.6;241.6;112,378,700.0
15/4/2025;249.9;258.8;247.5;254.1;254.1;79,594,300.0
14/4/2025;258.4;261.8;245.9;252.4;252.4;100,135,200.0
11/4/2025;251.8;257.7;241.4;252.3;252.3;128,948,100.0
10/4/2025;260.0;262.5;239.3;252.4;252.4;181,722,600.0
9/4/2025;224.7;274.7;223.9;272.2;272.2;219,433,400.0
8/4/2025;245.0;250.4;217.8;221.9;221.9;171,603,500.0
7/4/2025;223.8;252.0;214.3;233.3;233.3;183,453,800.0
4/4/2025;255.4;261.0;236.0;239.4;239.4;181,229,400.0
3/4/2025;265.3;276.3;261.5;267.3;267.3;136,174,300.0
2/4/2025;254.6;285.0;251.3;282.8;282.8;212,787,800.0
1/4/2025;263.8;277.5;259.3;268.5;268.5;146,486,900.0
31/3/2025;249.3;260.6;243.4;259.2;259.2;134,008,900.0
28/3/2025;275.6;276.1;260.6;263.6;263.6;123,809,400.0
27/3/2025;272.5;291.9;271.8;273.1;273.1;162,572,100.0
26/3/2025;282.7;284.9;266.5;272.1;272.1;153,629,800.0
